Rank,Model,Multi Turn Overall Acc,Base,Miss Func,Miss Param,Long Context
68,CoALM-70B,10.62%,11.00%,14.00%,9.00%,8.50%
69,Mistral-Medium-2505,9.88%,13.50%,6.50%,6.00%,13.50%
70,GPT-4.1-2025-04-14 (Prompt),9.75%,10.50%,11.00%,8.00%,9.50%
71,Llama-4-Scout-17B-16E-Instruct (FC),9.00%,12.00%,7.00%,7.50%,9.50%
72,Command R7B (FC),8.25%,12.00%,0.50%,10.50%,10.00%
73,CoALM-8B,8.00%,10.00%,7.00%,8.00%,7.00%
74,Open-Mistral-Nemo-2407 (FC),7.75%,12.50%,6.50%,7.50%,4.50%
75,Gemini-2.5-Flash-Lite (Prompt),7.63%,10.00%,5.00%,6.50%,9.00%
76,Granite-3.1-8B-Instruct (FC),7.50%,11.50%,2.00%,7.50%,9.00%
77,Granite-3.2-8B-Instruct (FC),7.38%,9.50%,3.00%,8.00%,9.00%
78,Falcon3-10B-Instruct (FC),6.50%,6.50%,9.50%,5.00%,5.00%
79,Gemma-3-12b-it (Prompt),5.75%,6.50%,7.50%,5.00%,4.00%
80,GPT-5-mini-2025-08-07 (Prompt),5.50%,5.50%,5.00%,4.50%,7.00%
81,Granite-20b-FunctionCalling (FC),5.38%,9.00%,3.00%,6.50%,3.00%
82,Falcon3-7B-Instruct (FC),5.00%,7.00%,4.00%,5.00%,4.00%
83,Llama-3.2-3B-Instruct (FC),4.00%,5.00%,3.50%,4.00%,3.50%
84,MiniCPM3-4B-FC (FC),3.88%,6.50%,2.00%,4.50%,2.50%
85,Phi-4 (Prompt),3.88%,9.00%,0.00%,3.50%,3.00%
86,Qwen3-0.6B (FC),3.62%,5.50%,2.00%,3.00%,4.00%
87,MiniCPM3-4B (Prompt),3.50%,4.50%,4.50%,2.00%,3.00%
88,Hammer2.1-0.5b (FC),2.88%,4.50%,0.50%,4.00%,2.50%
89,RZN-T (Prompt),2.88%,4.50%,2.00%,2.50%,2.50%
90,Bielik-11B-v2.3-Instruct (Prompt),2.62%,4.50%,0.50%,3.00%,2.50%
91,Granite-4.0-350m (FC),2.50%,5.00%,0.50%,2.50%,2.00%
92,GPT-4.1-mini-2025-04-14 (Prompt),2.50%,1.50%,4.50%,2.50%,1.50%
93,Amazon-Nova-2-Lite-v1:0 (FC),2.12%,2.50%,1.50%,2.00%,2.50%
94,GPT-4.1-nano-2025-04-14 (Prompt),2.00%,2.50%,1.00%,2.50%,2.00%
95,Amazon-Nova-Pro-v1:0 (FC),1.88%,1.50%,0.50%,2.50%,3.00%
96,Claude-Haiku-4-5-20251001 (Prompt),1.75%,1.50%,0.00%,4.00%,1.50%
97,Claude-Sonnet-4-5-20250929 (Prompt),1.62%,2.00%,0.00%,3.00%,1.50%
98,Qwen3-0.6B (Prompt),1.38%,1.50%,1.50%,1.50%,1.00%
99,Amazon-Nova-Micro-v1:0 (FC),1.38%,1.50%,1.00%,2.00%,1.00%
100,Falcon3-3B-Instruct (FC),1.00%,1.50%,0.50%,0.50%,1.50%
101,Open-Mistral-Nemo-2407 (Prompt),0.75%,0.50%,1.00%,0.00%,1.50%
102,GPT-5-nano-2025-08-07 (Prompt),0.75%,1.00%,1.00%,0.00%,1.00%
103,palmyra-x-004 (FC),0.38%,0.50%,0.00%,0.50%,0.50%
104,Gemma-3-4b-it (Prompt),0.38%,0.50%,0.00%,0.50%,0.50%
105,Gemma-3-1b-it (Prompt),0.00%,0.00%,0.00%,0.00%,0.00%
106,Ministral-8B-Instruct-2410 (FC),0.00%,0.00%,0.00%,0.00%,0.00%
107,Llama-3.2-1B-Instruct (FC),0.00%,0.00%,0.00%,0.00%,0.00%
108,Llama-3.1-Nemotron-Ultra-253B-v1 (FC),0.00%,0.00%,0.00%,0.00%,0.00%
109,Falcon3-1B-Instruct (FC),0.00%,0.00%,0.00%,0.00%,0.00%
